region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
British Columbia,337 (128 -- 923),337,407,277,128,222,289,391,503,923,New confirmed cases by infection date,Likely decreasing,0.67
Alberta,336 (134 -- 908),336,407,277,134,233,293,388,494,908,New confirmed cases by infection date,Stable,0.57
Yukon,40 (6 -- 254),40,83,240,6,19,30,53,83,254,New confirmed cases by infection date,Likely increasing,0.38
Nova Scotia,19 (5 -- 71),19,26,27,5,11,15,23,33,71,New confirmed cases by infection date,Likely decreasing,0.68
Northwest Territories,9 (0 -- 176),9,65,757,0,2,5,14,29,176,New confirmed cases by infection date,Stable,0.55
Prince Edward Island,6 (1 -- 38),6,12,26,1,3,5,8,13,38,New confirmed cases by infection date,Likely increasing,0.054
Prince Edward Island,1.4 (0.99 -- 2.2),1.4,1.5,0.4,0.99,1.2,1.4,1.5,1.7,2.2,Effective reproduction no.,Likely increasing,0.054
Yukon,1.1 (0.63 -- 1.8),1.1,1.1,0.37,0.63,0.9,1,1.2,1.3,1.8,Effective reproduction no.,Likely increasing,0.38
Alberta,0.97 (0.74 -- 1.3),0.97,0.98,0.16,0.74,0.88,0.93,1,1.1,1.3,Effective reproduction no.,Stable,0.57
British Columbia,0.93 (0.69 -- 1.2),0.93,0.94,0.16,0.69,0.82,0.89,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.67
Northwest Territories,0.93 (0.33 -- 2.3),0.93,1.1,0.64,0.33,0.62,0.8,1.1,1.3,2.3,Effective reproduction no.,Stable,0.55
Nova Scotia,0.88 (0.55 -- 1.4),0.88,0.91,0.25,0.55,0.73,0.82,0.94,1.1,1.4,Effective reproduction no.,Likely decreasing,0.68
Nunavut,0.25 (0.014 -- 1.6),0.25,0.46,0.65,0.014,0.089,0.17,0.34,0.58,1.6,Effective reproduction no.,Likely decreasing,0.88
Nunavut,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.88
